RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,2,,,1.0,,,117,Obesity,Birch,0.026676416397094727,0.3969682614874467,0.39696826148744674,0.14094924349761884,0.24763593380614657
,,,,,300,,118,Obesity,Mean Shift,86.47533559799194,0.17100900047370915,0.17100900047370915,0.0003267343962842248,0.0934990934990935
965,,,,,300,,119,Obesity,Affinity Propagation,25.828903675079346,0.6935101847465656,0.6935101847465656,0.4625885463821437,0.5308194343727338
,,1.0,,,,0.5,120,Obesity,Optics,14.013839721679688,0.1662719090478446,0.1662719090478446,0.0,0.09067424438129683
7821,3,,,,500,,121,Obesity,K-means,0.02052927017211914,0.5291331122690668,0.5291331122690669,0.29368081232074567,0.3597423510466989
,3,1.5,,,,,122,Obesity,DBScan,0.13270998001098633,0.16674561819043107,0.1667456181904311,6.944404497951529e-06,0.09095607235142118
,3,,Single,,,,123,Obesity,Agglomerative Clustering - Single,0.04141545295715332,0.1785883467550924,0.17858834675509236,0.0007798445226649455,0.09804941482444733
7821,3,,,,,,124,Obesity,Spectral Clustering,0.9987924098968506,0.4703931785883467,0.4703931785883467,0.22015772232947375,0.30752554970579127
,3,,,1.5,,,125,Obesity,Birch,0.03167152404785156,0.1662719090478446,0.1662719090478446,0.0,0.09067424438129683
,,,,,500,,126,Obesity,Mean Shift,85.4253556728363,0.17100900047370915,0.17100900047370915,0.0003267343962842248,0.0934990934990935
7821,,,,,500,,127,Obesity,Affinity Propagation,18.34423542022705,0.6935101847465656,0.6935101847465656,0.4625885463821437,0.5308194343727338
,,1.5,,,,0.8,128,Obesity,Optics,14.286170244216919,0.1662719090478446,0.1662719090478446,0.0,0.09067424438129683
10,1,,,,100,,129,Magic,K-means,0.016027212142944336,0.6483701366982124,0.6483701366982124,0.0,0.4796950365644935
